-i data/data.txt -n 10 -s 50 -r 10 -o logs/o50.txt -l logs/l50.txt
runtime (ns)
pipelined	vectorized	vectorized no simd
3467806	235844	656622
4794196	668684	1241385
5701129	981551	2403372
5853634	1262241	2498188
6075709	1595422	3780273
6158579	1864958	3680422
6113949	2248868	5439702
6216698	2417394	4910151
6432071	2611601	6772487
6548482	2805686	6005883
