-i data/data.txt -n 10 -s 10 -r 10 -o logs/o10.txt -l logs/l10.txt
runtime (ns)
pipelined	vectorized	vectorized no simd
1410877	258269	659836
1328335	730005	1291650
1410614	941644	2431436
1397637	1276639	2539910
1537826	1607394	3778912
1699609	1883153	3803296
1815677	2153164	5513643
1820275	2377499	4897664
1835265	2625571	6749558
1835057	2853597	6050302
