-i data/data.txt -n 10 -s 99 -r 10 -o logs/o99.txt -l logs/l99.txt
runtime (ns)
pipelined	vectorized	vectorized no simd
766826	248833	644456
959160	686717	1257121
1321383	961324	2450186
1564264	1314657	2559587
1926394	1589587	3853765
2158925	1918089	3797739
2460066	2147351	5507007
2717544	2409121	4901930
3555189	2599160	6736625
4297938	2890285	5998369
