-i data/data.txt -n 10 -s 0 -r 10 -o logs/o0.txt -l logs/l0.txt
runtime (ns)
pipelined	vectorized	vectorized no simd
689904	248382	619780
245749	645938	1239263
273339	935809	2188484
323201	1251846	2833864
484798	1542340	3372793
346694	1903737	4013541
344302	2160695	4914733
340076	2378679	5549350
482181	2564436	6112113
345599	2765709	6732864
