-i data/data.txt -n 10 -s 25 -r 10 -o logs/o25.txt -l logs/l25.txt
runtime (ns)
pipelined	vectorized	vectorized no simd
2199901	246153	639224
2491388	666989	1256192
2555596	986688	2389799
2686437	1265875	2505934
2915878	1604163	3857605
3033588	1902734	3714180
3088864	2262879	5512927
3176109	2369508	4883678
3212568	2584375	6712400
3190184	2810338	5999823
