-i data/data.txt -n 10 -s 100 -r 10 -o logs/o100.txt -l logs/l100.txt
runtime (ns)
pipelined	vectorized	vectorized no simd
725394	256449	643823
835445	700512	1286084
1196739	976222	2457355
1364009	1322013	2593294
1634355	1608705	3906318
1880619	1887061	3787732
2137165	2170229	5471404
2399077	2392867	4901394
3265698	2649872	6768717
3930756	2799065	6030285
