-i data/data.txt -n 10 -s 90 -r 10 -o logs/o90.txt -l logs/l90.txt
runtime (ns)
pipelined	vectorized	vectorized no simd
1308716	265769	653899
1937639	685782	1255581
2696184	975455	2429866
3241775	1303613	2500825
3862788	1616767	3867178
4247346	1899488	3844177
4610143	2187268	5438809
5043993	2378982	4893587
5719067	2613474	6744990
6527394	2868653	6022413
