-i data/data.txt -n 10 -s 75 -r 10 -o logs/o75.txt -l logs/l75.txt
runtime (ns)
pipelined	vectorized	vectorized no simd
2174425	250981	641011
3358318	711762	1245202
4433057	964943	2420814
5006559	1314589	2531033
5567595	1553049	3891382
5918049	1872646	3777697
6156180	2145047	5422969
6359156	2398202	4923419
6884397	2591536	6761048
7162131	2858620	5989688
